PuzzleId,puzzle_ref,Rook_Knight,Error,Processed_Comment
0tkbi,https://lichess.org/training/0tkbi,TRUE,False,"Processing row 10: 2025-11-06 12:33:48.592791 -> Puzzle 0tkbi - URL https://lichess.org/training/0tkbi, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
0v0Rp,https://lichess.org/training/0v0Rp,TRUE,False,"Processing row 11: 2025-11-06 12:33:49.781271 -> Puzzle 0v0Rp - URL https://lichess.org/training/0v0Rp, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
0zvoj,https://lichess.org/training/0zvoj,TRUE,False,"Processing row 12: 2025-11-06 12:33:50.942766 -> Puzzle 0zvoj - URL https://lichess.org/training/0zvoj, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
10m7R,https://lichess.org/training/10m7R,TRUE,False,"Processing row 13: 2025-11-06 12:33:52.099471 -> Puzzle 10m7R - URL https://lichess.org/training/10m7R, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
16Aoi,https://lichess.org/training/16Aoi,TRUE,False,"Processing row 14: 2025-11-06 12:33:53.283434 -> Puzzle 16Aoi - URL https://lichess.org/training/16Aoi, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
17SiN,https://lichess.org/training/17SiN,TRUE,False,"Processing row 15: 2025-11-06 12:33:54.441276 -> Puzzle 17SiN - URL https://lichess.org/training/17SiN, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
1ETqI,https://lichess.org/training/1ETqI,TRUE,False,"Processing row 16: 2025-11-06 12:33:55.739052 -> Puzzle 1ETqI - URL https://lichess.org/training/1ETqI, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
1HepU,https://lichess.org/training/1HepU,TRUE,False,"Processing row 17: 2025-11-06 12:33:56.908704 -> Puzzle 1HepU - URL https://lichess.org/training/1HepU, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
1QpQv,https://lichess.org/training/1QpQv,TRUE,False,"Processing row 18: 2025-11-06 12:33:58.099706 -> Puzzle 1QpQv - URL https://lichess.org/training/1QpQv, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
1Vh8H,https://lichess.org/training/1Vh8H,TRUE,False,"Processing row 19: 2025-11-06 12:33:59.239720 -> Puzzle 1Vh8H - URL https://lichess.org/training/1Vh8H, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
1cGNy,https://lichess.org/training/1cGNy,TRUE,False,"Processing row 20: 2025-11-06 12:34:00.373027 -> Puzzle 1cGNy - URL https://lichess.org/training/1cGNy, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
1cmLN,https://lichess.org/training/1cmLN,TRUE,False,"Processing row 21: 2025-11-06 12:34:01.502226 -> Puzzle 1cmLN - URL https://lichess.org/training/1cmLN, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
1fScq,https://lichess.org/training/1fScq,TRUE,False,"Processing row 22: 2025-11-06 12:34:02.673430 -> Puzzle 1fScq - URL https://lichess.org/training/1fScq, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
1kEzk,https://lichess.org/training/1kEzk,TRUE,False,"Processing row 23: 2025-11-06 12:34:03.844143 -> Puzzle 1kEzk - URL https://lichess.org/training/1kEzk, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
1nQOt,https://lichess.org/training/1nQOt,TRUE,False,"Processing row 24: 2025-11-06 12:34:05.003722 -> Puzzle 1nQOt - URL https://lichess.org/training/1nQOt, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
1ogQq,https://lichess.org/training/1ogQq,TRUE,False,"Processing row 25: 2025-11-06 12:34:06.136559 -> Puzzle 1ogQq - URL https://lichess.org/training/1ogQq, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
21m6n,https://lichess.org/training/21m6n,TRUE,False,"Processing row 26: 2025-11-06 12:34:07.429526 -> Puzzle 21m6n - URL https://lichess.org/training/21m6n, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
2AgFi,https://lichess.org/training/2AgFi,TRUE,False,"Processing row 27: 2025-11-06 12:34:08.554786 -> Puzzle 2AgFi - URL https://lichess.org/training/2AgFi, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
2FFZF,https://lichess.org/training/2FFZF,TRUE,False,"Processing row 28: 2025-11-06 12:34:09.667515 -> Puzzle 2FFZF - URL https://lichess.org/training/2FFZF, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
2GhIP,https://lichess.org/training/2GhIP,TRUE,False,"Processing row 29: 2025-11-06 12:34:10.785130 -> Puzzle 2GhIP - URL https://lichess.org/training/2GhIP, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
2H3Vn,https://lichess.org/training/2H3Vn,TRUE,False,"Processing row 30: 2025-11-06 12:34:11.907627 -> Puzzle 2H3Vn - URL https://lichess.org/training/2H3Vn, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
2I8GF,https://lichess.org/training/2I8GF,TRUE,False,"Processing row 31: 2025-11-06 12:34:13.058122 -> Puzzle 2I8GF - URL https://lichess.org/training/2I8GF, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
2J2T7,https://lichess.org/training/2J2T7,TRUE,False,"Processing row 32: 2025-11-06 12:34:14.202530 -> Puzzle 2J2T7 - URL https://lichess.org/training/2J2T7, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
2Jl5b,https://lichess.org/training/2Jl5b,TRUE,False,"Processing row 33: 2025-11-06 12:34:15.342384 -> Puzzle 2Jl5b - URL https://lichess.org/training/2Jl5b, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
2M03Z,https://lichess.org/training/2M03Z,TRUE,False,"Processing row 34: 2025-11-06 12:34:16.467336 -> Puzzle 2M03Z - URL https://lichess.org/training/2M03Z, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
2b6Qi,https://lichess.org/training/2b6Qi,TRUE,False,"Processing row 35: 2025-11-06 12:34:17.895869 -> Puzzle 2b6Qi - URL https://lichess.org/training/2b6Qi, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
2eVGq,https://lichess.org/training/2eVGq,TRUE,False,"Processing row 36: 2025-11-06 12:34:19.015645 -> Puzzle 2eVGq - URL https://lichess.org/training/2eVGq, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
2fguc,https://lichess.org/training/2fguc,TRUE,False,"Processing row 37: 2025-11-06 12:34:20.129940 -> Puzzle 2fguc - URL https://lichess.org/training/2fguc, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
2gZhF,https://lichess.org/training/2gZhF,TRUE,False,"Processing row 38: 2025-11-06 12:34:21.267750 -> Puzzle 2gZhF - URL https://lichess.org/training/2gZhF, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
2yU0W,https://lichess.org/training/2yU0W,TRUE,False,"Processing row 39: 2025-11-06 12:34:22.446337 -> Puzzle 2yU0W - URL https://lichess.org/training/2yU0W, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
3Ise0,https://lichess.org/training/3Ise0,TRUE,False,"Processing row 40: 2025-11-06 12:34:23.586536 -> Puzzle 3Ise0 - URL https://lichess.org/training/3Ise0, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
3NRfw,https://lichess.org/training/3NRfw,TRUE,False,"Processing row 41: 2025-11-06 12:34:24.730735 -> Puzzle 3NRfw - URL https://lichess.org/training/3NRfw, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
3S3FR,https://lichess.org/training/3S3FR,TRUE,False,"Processing row 42: 2025-11-06 12:34:25.844555 -> Puzzle 3S3FR - URL https://lichess.org/training/3S3FR, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
3e9DM,https://lichess.org/training/3e9DM,TRUE,False,"Processing row 43: 2025-11-06 12:34:27.202093 -> Puzzle 3e9DM - URL https://lichess.org/training/3e9DM, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
3fPel,https://lichess.org/training/3fPel,TRUE,False,"Processing row 44: 2025-11-06 12:34:28.326357 -> Puzzle 3fPel - URL https://lichess.org/training/3fPel, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
3gRv4,https://lichess.org/training/3gRv4,TRUE,False,"Processing row 45: 2025-11-06 12:34:29.461805 -> Puzzle 3gRv4 - URL https://lichess.org/training/3gRv4, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
3nuCq,https://lichess.org/training/3nuCq,TRUE,False,"Processing row 46: 2025-11-06 12:34:30.577413 -> Puzzle 3nuCq - URL https://lichess.org/training/3nuCq, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
3uRfk,https://lichess.org/training/3uRfk,TRUE,False,"Processing row 47: 2025-11-06 12:34:31.700009 -> Puzzle 3uRfk - URL https://lichess.org/training/3uRfk, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
44v5r,https://lichess.org/training/44v5r,TRUE,False,"Processing row 48: 2025-11-06 12:34:32.896539 -> Puzzle 44v5r - URL https://lichess.org/training/44v5r, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
46UFW,https://lichess.org/training/46UFW,TRUE,False,"Processing row 49: 2025-11-06 12:34:34.020476 -> Puzzle 46UFW - URL https://lichess.org/training/46UFW, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
47NoD,https://lichess.org/training/47NoD,TRUE,False,"Processing row 50: 2025-11-06 12:34:35.189512 -> Puzzle 47NoD - URL https://lichess.org/training/47NoD, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
47oJP,https://lichess.org/training/47oJP,TRUE,False,"Processing row 51: 2025-11-06 12:34:36.311727 -> Puzzle 47oJP - URL https://lichess.org/training/47oJP, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
4FjT7,https://lichess.org/training/4FjT7,TRUE,False,"Processing row 52: 2025-11-06 12:34:37.465701 -> Puzzle 4FjT7 - URL https://lichess.org/training/4FjT7, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
4HM3N,https://lichess.org/training/4HM3N,TRUE,False,"Processing row 53: 2025-11-06 12:34:38.585918 -> Puzzle 4HM3N - URL https://lichess.org/training/4HM3N, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
4gNuL,https://lichess.org/training/4gNuL,TRUE,False,"Processing row 54: 2025-11-06 12:34:39.701427 -> Puzzle 4gNuL - URL https://lichess.org/training/4gNuL, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
4p4Fi,https://lichess.org/training/4p4Fi,TRUE,False,"Processing row 55: 2025-11-06 12:34:40.817683 -> Puzzle 4p4Fi - URL https://lichess.org/training/4p4Fi, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
4wDQD,https://lichess.org/training/4wDQD,TRUE,False,"Processing row 56: 2025-11-06 12:34:41.962719 -> Puzzle 4wDQD - URL https://lichess.org/training/4wDQD, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
4wWap,https://lichess.org/training/4wWap,TRUE,False,"Processing row 57: 2025-11-06 12:34:43.093457 -> Puzzle 4wWap - URL https://lichess.org/training/4wWap, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
4yjpD,https://lichess.org/training/4yjpD,TRUE,False,"Processing row 58: 2025-11-06 12:34:44.231758 -> Puzzle 4yjpD - URL https://lichess.org/training/4yjpD, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
54uxc,https://lichess.org/training/54uxc,TRUE,False,"Processing row 59: 2025-11-06 12:34:45.355866 -> Puzzle 54uxc - URL https://lichess.org/training/54uxc, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
5LH7y,https://lichess.org/training/5LH7y,TRUE,False,"Processing row 60: 2025-11-06 12:34:46.495428 -> Puzzle 5LH7y - URL https://lichess.org/training/5LH7y, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
5pWl2,https://lichess.org/training/5pWl2,TRUE,False,"Processing row 61: 2025-11-06 12:34:47.669618 -> Puzzle 5pWl2 - URL https://lichess.org/training/5pWl2, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
5uTyu,https://lichess.org/training/5uTyu,TRUE,False,"Processing row 62: 2025-11-06 12:34:48.788383 -> Puzzle 5uTyu - URL https://lichess.org/training/5uTyu, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
66WJy,https://lichess.org/training/66WJy,TRUE,False,"Processing row 63: 2025-11-06 12:34:49.920840 -> Puzzle 66WJy - URL https://lichess.org/training/66WJy, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
6DUkh,https://lichess.org/training/6DUkh,TRUE,False,"Processing row 64: 2025-11-06 12:34:51.043419 -> Puzzle 6DUkh - URL https://lichess.org/training/6DUkh, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
6RGpK,https://lichess.org/training/6RGpK,TRUE,False,"Processing row 65: 2025-11-06 12:34:52.183206 -> Puzzle 6RGpK - URL https://lichess.org/training/6RGpK, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
6TmXx,https://lichess.org/training/6TmXx,TRUE,False,"Processing row 66: 2025-11-06 12:34:53.385958 -> Puzzle 6TmXx - URL https://lichess.org/training/6TmXx, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
6Uq2I,https://lichess.org/training/6Uq2I,TRUE,False,"Processing row 67: 2025-11-06 12:34:54.603808 -> Puzzle 6Uq2I - URL https://lichess.org/training/6Uq2I, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
6bwK9,https://lichess.org/training/6bwK9,TRUE,False,"Processing row 68: 2025-11-06 12:34:55.741056 -> Puzzle 6bwK9 - URL https://lichess.org/training/6bwK9, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
6mnLR,https://lichess.org/training/6mnLR,TRUE,False,"Processing row 69: 2025-11-06 12:34:56.857170 -> Puzzle 6mnLR - URL https://lichess.org/training/6mnLR, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
6nKgr,https://lichess.org/training/6nKgr,TRUE,False,"Processing row 70: 2025-11-06 12:34:57.979044 -> Puzzle 6nKgr - URL https://lichess.org/training/6nKgr, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
6rypX,https://lichess.org/training/6rypX,TRUE,False,"Processing row 71: 2025-11-06 12:34:59.105777 -> Puzzle 6rypX - URL https://lichess.org/training/6rypX, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
6wCfV,https://lichess.org/training/6wCfV,TRUE,False,"Processing row 72: 2025-11-06 12:35:00.219912 -> Puzzle 6wCfV - URL https://lichess.org/training/6wCfV, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
6y848,https://lichess.org/training/6y848,TRUE,False,"Processing row 73: 2025-11-06 12:35:01.335960 -> Puzzle 6y848 - URL https://lichess.org/training/6y848, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
7A6zU,https://lichess.org/training/7A6zU,TRUE,False,"Processing row 74: 2025-11-06 12:35:02.459127 -> Puzzle 7A6zU - URL https://lichess.org/training/7A6zU, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
7Cgua,https://lichess.org/training/7Cgua,TRUE,False,"Processing row 75: 2025-11-06 12:35:03.594080 -> Puzzle 7Cgua - URL https://lichess.org/training/7Cgua, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
7K0KJ,https://lichess.org/training/7K0KJ,TRUE,False,"Processing row 76: 2025-11-06 12:35:04.726518 -> Puzzle 7K0KJ - URL https://lichess.org/training/7K0KJ, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
7OSe6,https://lichess.org/training/7OSe6,TRUE,False,"Processing row 77: 2025-11-06 12:35:05.842731 -> Puzzle 7OSe6 - URL https://lichess.org/training/7OSe6, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
7iVOc,https://lichess.org/training/7iVOc,TRUE,False,"Processing row 78: 2025-11-06 12:35:06.956925 -> Puzzle 7iVOc - URL https://lichess.org/training/7iVOc, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
7meDF,https://lichess.org/training/7meDF,TRUE,False,"Processing row 79: 2025-11-06 12:35:08.078724 -> Puzzle 7meDF - URL https://lichess.org/training/7meDF, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
7ni7u,https://lichess.org/training/7ni7u,TRUE,False,"Processing row 80: 2025-11-06 12:35:09.213188 -> Puzzle 7ni7u - URL https://lichess.org/training/7ni7u, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
7yb3C,https://lichess.org/training/7yb3C,TRUE,False,"Processing row 81: 2025-11-06 12:35:10.341834 -> Puzzle 7yb3C - URL https://lichess.org/training/7yb3C, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
8APAD,https://lichess.org/training/8APAD,TRUE,False,"Processing row 82: 2025-11-06 12:35:11.464900 -> Puzzle 8APAD - URL https://lichess.org/training/8APAD, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
8Jjia,https://lichess.org/training/8Jjia,TRUE,False,"Processing row 83: 2025-11-06 12:35:12.607552 -> Puzzle 8Jjia - URL https://lichess.org/training/8Jjia, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
8Omlu,https://lichess.org/training/8Omlu,TRUE,False,"Processing row 84: 2025-11-06 12:35:13.729263 -> Puzzle 8Omlu - URL https://lichess.org/training/8Omlu, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
8PkOa,https://lichess.org/training/8PkOa,TRUE,False,"Processing row 85: 2025-11-06 12:35:14.866103 -> Puzzle 8PkOa - URL https://lichess.org/training/8PkOa, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
8Voj4,https://lichess.org/training/8Voj4,TRUE,False,"Processing row 86: 2025-11-06 12:35:15.979153 -> Puzzle 8Voj4 - URL https://lichess.org/training/8Voj4, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
8Zp2o,https://lichess.org/training/8Zp2o,TRUE,False,"Processing row 87: 2025-11-06 12:35:17.112445 -> Puzzle 8Zp2o - URL https://lichess.org/training/8Zp2o, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
8aqAc,https://lichess.org/training/8aqAc,TRUE,False,"Processing row 88: 2025-11-06 12:35:18.226587 -> Puzzle 8aqAc - URL https://lichess.org/training/8aqAc, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
8kARM,https://lichess.org/training/8kARM,TRUE,False,"Processing row 89: 2025-11-06 12:35:19.342266 -> Puzzle 8kARM - URL https://lichess.org/training/8kARM, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
8mNPO,https://lichess.org/training/8mNPO,TRUE,False,"Processing row 90: 2025-11-06 12:35:20.467538 -> Puzzle 8mNPO - URL https://lichess.org/training/8mNPO, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
8oeta,https://lichess.org/training/8oeta,TRUE,False,"Processing row 91: 2025-11-06 12:35:21.608889 -> Puzzle 8oeta - URL https://lichess.org/training/8oeta, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
8sGft,https://lichess.org/training/8sGft,TRUE,False,"Processing row 92: 2025-11-06 12:35:22.739086 -> Puzzle 8sGft - URL https://lichess.org/training/8sGft, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
8vD8f,https://lichess.org/training/8vD8f,TRUE,False,"Processing row 93: 2025-11-06 12:35:23.856410 -> Puzzle 8vD8f - URL https://lichess.org/training/8vD8f, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
95naD,https://lichess.org/training/95naD,TRUE,False,"Processing row 94: 2025-11-06 12:35:24.975204 -> Puzzle 95naD - URL https://lichess.org/training/95naD, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
977i5,https://lichess.org/training/977i5,TRUE,False,"Processing row 95: 2025-11-06 12:35:26.112038 -> Puzzle 977i5 - URL https://lichess.org/training/977i5, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
988py,https://lichess.org/training/988py,TRUE,False,"Processing row 96: 2025-11-06 12:35:27.233096 -> Puzzle 988py - URL https://lichess.org/training/988py, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
98efJ,https://lichess.org/training/98efJ,TRUE,False,"Processing row 97: 2025-11-06 12:35:28.353722 -> Puzzle 98efJ - URL https://lichess.org/training/98efJ, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
98qQI,https://lichess.org/training/98qQI,TRUE,False,"Processing row 98: 2025-11-06 12:35:29.473848 -> Puzzle 98qQI - URL https://lichess.org/training/98qQI, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
9EpT2,https://lichess.org/training/9EpT2,TRUE,False,"Processing row 99: 2025-11-06 12:35:30.600511 -> Puzzle 9EpT2 - URL https://lichess.org/training/9EpT2, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
9FuIX,https://lichess.org/training/9FuIX,TRUE,False,"Processing row 100: 2025-11-06 12:35:31.715758 -> Puzzle 9FuIX - URL https://lichess.org/training/9FuIX, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
9LuxO,https://lichess.org/training/9LuxO,TRUE,False,"Processing row 101: 2025-11-06 12:35:32.861204 -> Puzzle 9LuxO - URL https://lichess.org/training/9LuxO, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
9P1TY,https://lichess.org/training/9P1TY,TRUE,False,"Processing row 102: 2025-11-06 12:35:33.989570 -> Puzzle 9P1TY - URL https://lichess.org/training/9P1TY, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
9YLFX,https://lichess.org/training/9YLFX,TRUE,False,"Processing row 103: 2025-11-06 12:35:35.113300 -> Puzzle 9YLFX - URL https://lichess.org/training/9YLFX, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
9fdKV,https://lichess.org/training/9fdKV,TRUE,False,"Processing row 104: 2025-11-06 12:35:36.237697 -> Puzzle 9fdKV - URL https://lichess.org/training/9fdKV, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
9goI5,https://lichess.org/training/9goI5,TRUE,False,"Processing row 105: 2025-11-06 12:35:37.383107 -> Puzzle 9goI5 - URL https://lichess.org/training/9goI5, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
9n7YH,https://lichess.org/training/9n7YH,TRUE,False,"Processing row 106: 2025-11-06 12:35:38.534089 -> Puzzle 9n7YH - URL https://lichess.org/training/9n7YH, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
9qDx4,https://lichess.org/training/9qDx4,TRUE,False,"Processing row 107: 2025-11-06 12:35:39.688907 -> Puzzle 9qDx4 - URL https://lichess.org/training/9qDx4, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
9vIWl,https://lichess.org/training/9vIWl,TRUE,False,"Processing row 108: 2025-11-06 12:35:40.808525 -> Puzzle 9vIWl - URL https://lichess.org/training/9vIWl, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
9wUwH,https://lichess.org/training/9wUwH,TRUE,False,"Processing row 109: 2025-11-06 12:35:41.925690 -> Puzzle 9wUwH - URL https://lichess.org/training/9wUwH, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
A7T9E,https://lichess.org/training/A7T9E,TRUE,False,"Processing row 110: 2025-11-06 12:35:43.060495 -> Puzzle A7T9E - URL https://lichess.org/training/A7T9E, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
A9h1Y,https://lichess.org/training/A9h1Y,TRUE,False,"Processing row 111: 2025-11-06 12:35:44.195903 -> Puzzle A9h1Y - URL https://lichess.org/training/A9h1Y, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
AEhDu,https://lichess.org/training/AEhDu,TRUE,False,"Processing row 112: 2025-11-06 12:35:45.313696 -> Puzzle AEhDu - URL https://lichess.org/training/AEhDu, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
AH3zE,https://lichess.org/training/AH3zE,TRUE,False,"Processing row 113: 2025-11-06 12:35:46.433938 -> Puzzle AH3zE - URL https://lichess.org/training/AH3zE, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
Alv7O,https://lichess.org/training/Alv7O,TRUE,False,"Processing row 114: 2025-11-06 12:35:47.552045 -> Puzzle Alv7O - URL https://lichess.org/training/Alv7O, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
AqMHH,https://lichess.org/training/AqMHH,TRUE,False,"Processing row 115: 2025-11-06 12:35:48.684513 -> Puzzle AqMHH - URL https://lichess.org/training/AqMHH, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
BH7N4,https://lichess.org/training/BH7N4,TRUE,False,"Processing row 116: 2025-11-06 12:35:49.848996 -> Puzzle BH7N4 - URL https://lichess.org/training/BH7N4, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
BI0jl,https://lichess.org/training/BI0jl,TRUE,False,"Processing row 117: 2025-11-06 12:35:50.999255 -> Puzzle BI0jl - URL https://lichess.org/training/BI0jl, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
BiqUO,https://lichess.org/training/BiqUO,TRUE,False,"Processing row 118: 2025-11-06 12:35:52.135579 -> Puzzle BiqUO - URL https://lichess.org/training/BiqUO, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
BtMSX,https://lichess.org/training/BtMSX,TRUE,False,"Processing row 119: 2025-11-06 12:35:53.255284 -> Puzzle BtMSX - URL https://lichess.org/training/BtMSX, Reviewed: TRUE -> Status: 200 Text:{""ok"":true}"
